ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
BP	GO:0046717	acid secretion	48	0.5602523478529673	1.9815939978977448	8.852637505448004e-5	0.01488561578841608	0.013650707553193621	2537	tags=40%, list=14%, signal=34%	Htr2c/Ntsr1/Oxtr/Grik1/Trh/Kcnq1/Ptger3/Abcb4/Slc9a4/Htr6/Snx10/Gpr39/Abcb11/Slc26a7/Drd2/Htr1a/Apba1/Chrm5/Htr1b
BP	GO:0060191	regulation of lipase activity	71	0.512446694422928	1.9365157913682256	9.824452670154222e-5	0.015985456683429537	0.014659305828621027	1849	tags=25%, list=11%, signal=23%	Apoa2/Apoa1/Apoc1/Apoc3/Agt/Apoa5/Cd86/Fgf2/Esr1/Arhgap6/Apoh/Pdgfra/Rgs2/Adcyap1r1/Sele/Itk/Angptl3/Abl2
BP	GO:0007263	nitric oxide mediated signal transduction	22	0.6915553845192084	2.059376232942872	9.911266322764107e-5	0.015985456683429537	0.014659305828621027	1859	tags=50%, list=11%, signal=45%	Npy2r/Atp2b4/Nos1/Cd36/Pde2a/Mt1/Gucy1a2/Neurod1/Mt2/Egfr/Thbs1
BP	GO:0050995	negative regulation of lipid catabolic process	24	0.6829641567507803	2.095325325305117	1.2075261588976733e-4	0.018126809217128555	0.016623012108650293	1695	tags=38%, list=10%, signal=34%	Apoa2/Apoc1/Apoc3/Adra2a/Pde3b/Crtc3/Mfsd2a/Prkaa1/Cnr1
BP	GO:0006953	acute-phase response	31	0.6359128678040505	2.0698143399226603	1.2627811814358027e-4	0.018481036438679904	0.01694785269821735	785	tags=29%, list=4%, signal=28%	Ahsg/Serpina1b/Itih4/F2/Serpinf2/Fn1/Il1a/Ptger3/Cd163
BP	GO:0097006	regulation of plasma lipoprotein particle levels	57	0.5323027114076022	1.933409887275729	1.4794247346578e-4	0.020866983662460675	0.01913586213310625	1531	tags=23%, list=9%, signal=21%	Apoa2/Apoa1/Apoc1/Apoc3/Apob/Cd36/Apoa5/Soat1/Plagl2/Mfsd2a/Lipg/Abca5/Dgat2
BP	GO:0043951	negative regulation of cAMP-mediated signaling	19	0.7333361287808853	2.1281278899905955	1.9002925029071302e-4	0.02461969123028697	0.02257724569890525	1459	tags=47%, list=8%, signal=43%	Npy2r/Pde11a/Nucb2/Pde3b/Pde2a/Crtc3/Rgs2/Pde10a/Pde3a
BP	GO:0001662	behavioral fear response	52	0.5366060407137125	1.9250984345243707	1.9660001212725133e-4	0.02506015961034947	0.02298117289467106	2300	tags=37%, list=13%, signal=32%	Npy2r/Htr2c/Lypd1/Cacna1e/Asic4/Gng7/Drd1/Esr2/Gabra5/Grik2/Bcl2/Penk/Npas2/Grm7/Bdnf/Htr1a/Ankfn1/Slc1a1/Usp46
BP	GO:0002209	behavioral defense response	53	0.5293135879249611	1.914770557790877	2.1163712195942797e-4	0.026133877731958736	0.023965815537675357	2300	tags=36%, list=13%, signal=31%	Npy2r/Htr2c/Lypd1/Cacna1e/Asic4/Gng7/Drd1/Esr2/Gabra5/Grik2/Bcl2/Penk/Npas2/Grm7/Bdnf/Htr1a/Ankfn1/Slc1a1/Usp46
BP	GO:0035458	cellular response to interferon-beta	33	-0.5985763455757624	-1.9973632290134933	2.2456942041830557e-4	0.027304186608705677	0.025039035782672615	2570	tags=36%, list=15%, signal=31%	Ifit1/Stat1/Irgm1/Irgm2/Tgtp1/Gbp6/Mndal/Irf1/Gbp2/Ifit3/Igtp/Gbp3
MF	GO:0033549	MAP kinase phosphatase activity	14	-0.7630524165487234	-2.03885731686232	2.3014603861678656e-4	0.02755824459376461	0.025272017159116037	613	tags=50%, list=3%, signal=48%	Dusp3/Dusp10/Dusp7/Dusp14/Dusp5/Dusp1/Dusp6
BP	GO:0061436	establishment of skin barrier	23	0.6715444311688578	2.029256986850621	2.701840576828695e-4	0.03140095011570173	0.02879593246356899	899	tags=30%, list=5%, signal=29%	Aloxe3/Grhl1/Cldn1/Met/Krt1/Kdf1/Grhl3
BP	GO:0060259	regulation of feeding behavior	36	0.5853792882891866	1.9636594694648937	2.765236960414267e-4	0.031654208374383465	0.029028180458803808	3460	tags=44%, list=20%, signal=36%	Npy2r/Trh/Drd1/Esr2/Tacr3/Lepr/Npsr1/Cnr1/Htr1a/Nr4a3/Insr/Eif2ak4/Ankrd26/Oprk1/Mchr1/Crhr2
BP	GO:0035970	peptidyl-threonine dephosphorylation	20	-0.6904112250821419	-2.007257650396886	2.883061591128181e-4	0.031654208374383465	0.029028180458803808	2169	tags=45%, list=12%, signal=39%	Dusp16/Ppm1d/Pdp1/Pdp2/Dusp10/Dusp7/Dusp5/Dusp1/Dusp6
BP	GO:0060192	negative regulation of lipase activity	17	0.7268006587007825	2.0490022383542774	2.959306407730987e-4	0.03184073907262301	0.02919923660102552	3196	tags=59%, list=18%, signal=48%	Apoa2/Apoa1/Apoc1/Apoc3/Rgs2/Angptl3/Angptl4/Anxa8/Hdac9/Pla2r1
BP	GO:0033622	integrin activation	26	0.6403901970442134	1.9899157283417093	3.02170749139153e-4	0.03184073907262301	0.02919923660102552	1810	tags=35%, list=10%, signal=31%	Pcsk5/Fn1/Fermt1/Skap1/Col16a1/Foxc2/Farp2/Rasip1/Piezo1
BP	GO:0048846	axon extension involved in axon guidance	37	0.5775069797657717	1.9431862827321709	3.186397928065825e-4	0.03216102861719233	0.029492954977705904	2653	tags=41%, list=15%, signal=34%	Wnt5a/Sema3d/Nrp1/Plxna3/Sema4g/Slit3/Slit1/Nrp2/Sema5b/Sema3a/Sema3f/Sema3c/Slit2/Smo/Sema6a
BP	GO:1902284	neuron projection extension involved in neuron projection guidance	37	0.5775069797657717	1.9431862827321709	3.186397928065825e-4	0.03216102861719233	0.029492954977705904	2653	tags=41%, list=15%, signal=34%	Wnt5a/Sema3d/Nrp1/Plxna3/Sema4g/Slit3/Slit1/Nrp2/Sema5b/Sema3a/Sema3f/Sema3c/Slit2/Smo/Sema6a
MF	GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	12	-0.7678839315202306	-1.9884394774560974	3.2895067923736834e-4	0.0323396199091723	0.02965673036550428	599	tags=50%, list=3%, signal=48%	Dusp10/Dusp7/Dusp14/Dusp5/Dusp1/Dusp6
MF	GO:0008330	protein tyrosine/threonine phosphatase activity	11	-0.7952551060535595	-2.0002030862804276	3.811597791996559e-4	0.03423074698880547	0.031390969853942956	599	tags=45%, list=3%, signal=44%	Dusp10/Dusp7/Dusp5/Dusp1/Dusp6
BP	GO:0035456	response to interferon-beta	43	-0.5420001206682449	-1.9222742509311803	4.0004529884955206e-4	0.0349267606263968	0.032029242314742835	2570	tags=33%, list=15%, signal=28%	Ifit1/Stat1/Irgm1/Irgm2/Ifitm2/Tgtp1/Gbp6/Mndal/Irf1/Bst2/Gbp2/Ifit3/Igtp/Gbp3
BP	GO:0019433	triglyceride catabolic process	26	0.6352525612997413	1.9739513019316814	4.0216819144655306e-4	0.0349267606263968	0.032029242314742835	1647	tags=31%, list=9%, signal=28%	Apoa1/Apoc3/Apob/Apoa5/Cps1/Apoh/Lipg/Liph
BP	GO:0099054	presynapse assembly	48	0.5291659306277177	1.8716423698041376	4.216200268081811e-4	0.03554652298296798	0.03259758928824292	2193	tags=31%, list=12%, signal=27%	Cbln1/Cadm1/Gpc4/Mdga1/Lrrtm1/Cntn5/Pcdh17/Nrxn1/Fzd1/Mdga2/Ntng2/Efnb2/Nlgn1/Ptprd/Il1rapl1
BP	GO:0065005	protein-lipid complex assembly	26	0.6341801560258788	1.9706189646606471	4.282545305158941e-4	0.03554652298296798	0.03259758928824292	942	tags=23%, list=5%, signal=22%	Apoa2/Apoa1/Apoa5/Soat1/Plagl2/Mfsd2a
BP	GO:0045940	positive regulation of steroid metabolic process	32	0.6017873394490925	1.97755249951411	4.41304820552548e-4	0.03576908567250226	0.03280168821369342	396	tags=16%, list=2%, signal=15%	Apoa2/Apoa1/Agt/Apoa5/Il1a
BP	GO:0051004	regulation of lipoprotein lipase activity	14	0.7525454357845576	2.008292707385376	4.43549335177176e-4	0.03576908567250226	0.03280168821369342	558	tags=36%, list=3%, signal=35%	Apoa1/Apoc1/Apoc3/Apoa5/Apoh
BP	GO:0048521	negative regulation of behavior	26	0.6330970359276896	1.967253332692797	4.5877428204415106e-4	0.03599426720487326	0.03300818872321003	2466	tags=46%, list=14%, signal=40%	Npy2r/Trh/Drd1/Esr2/Ptger3/Htr7/Lepr/Ada/Npsr1/Drd2/Dbn1/Insr
BP	GO:0034377	plasma lipoprotein particle assembly	22	0.6570182014036009	1.9565282822895393	4.6682295365896076e-4	0.03599426720487326	0.03300818872321003	942	tags=27%, list=5%, signal=26%	Apoa2/Apoa1/Apoa5/Soat1/Plagl2/Mfsd2a
BP	GO:0060065	uterus development	22	0.6573474059888528	1.957508617507542	4.6682295365896076e-4	0.03599426720487326	0.03300818872321003	3085	tags=45%, list=18%, signal=38%	Wnt5a/Esr1/Esr2/Wnt9b/Stra6/Rbp4/Lhcgr/Nipbl/Wnt7a/Kdm5b
BP	GO:0000188	inactivation of MAPK activity	18	-0.6884099039101488	-1.9615944972654762	4.6983757463102367e-4	0.03599426720487326	0.03300818872321003	613	tags=39%, list=3%, signal=38%	Dusp3/Dusp10/Dusp7/Prkca/Dusp5/Dusp1/Dusp6
BP	GO:0097345	mitochondrial outer membrane permeabilization	30	-0.5887718235029	-1.9308631021686324	4.7530774003113127e-4	0.03599426720487326	0.03300818872321003	2989	tags=37%, list=17%, signal=30%	Slc35f6/Mpv17l/Sh3glb1/Bbc3/Bid/Bnip3/Ier3/Slc25a5/Pmaip1/Tmem14a/Bok
BP	GO:0042596	fear response	57	0.5110126721858127	1.8560810075804752	4.7566587014013817e-4	0.03599426720487326	0.03300818872321003	2300	tags=35%, list=13%, signal=31%	Npy2r/Htr2c/Lypd1/Cacna1e/Asic4/Gng7/Drd1/Esr2/Adra2a/Gabra5/Grik2/Bcl2/Penk/Npas2/Grm7/Bdnf/Htr1a/Ankfn1/Slc1a1/Usp46
BP	GO:0071526	semaphorin-plexin signaling pathway	41	0.5447537952734631	1.8618685777460426	4.782232135279884e-4	0.03599426720487326	0.03300818872321003	1948	tags=37%, list=11%, signal=33%	Sema3d/Nrp1/Plxna3/Sema4g/Met/Plxnc1/Nrp2/Sema5b/Ncam1/Sema3a/Sema3f/Plxnd1/Farp2/Sema3c/Plxnb1
BP	GO:0090303	positive regulation of wound healing	48	0.5265147457425732	1.862265216676886	4.93895720546211e-4	0.036117670901781765	0.03312135486973867	1256	tags=25%, list=7%, signal=23%	Rreb1/Cd36/F2/Serpinf2/Cldn1/Fermt1/Adra2a/Apoh/Plg/Foxc2/Hrg/Ano6
BP	GO:0046461	neutral lipid catabolic process	36	0.5714560338548358	1.9169538019383114	4.981432529791487e-4	0.036117670901781765	0.03312135486973867	977	tags=22%, list=6%, signal=21%	Apoa2/Apoa1/Apoc3/Apob/Apoa5/Cps1/Apoh/Lipg
BP	GO:0046464	acylglycerol catabolic process	36	0.5714560338548358	1.9169538019383114	4.981432529791487e-4	0.036117670901781765	0.03312135486973867	977	tags=22%, list=6%, signal=21%	Apoa2/Apoa1/Apoc3/Apob/Apoa5/Cps1/Apoh/Lipg
BP	GO:0042730	fibrinolysis	18	0.7052138171575144	2.0009666780914346	5.315708230052142e-4	0.0379188675410773	0.0347731245323651	2163	tags=50%, list=12%, signal=44%	Fgb/F2/Serpinf2/Fgg/Apoh/Plg/Hrg/Thbs1/Plau
BP	GO:0033561	regulation of water loss via skin	27	0.6202137762601917	1.9578653501914145	5.404022170433919e-4	0.03803984762752736	0.03488406813075992	899	tags=26%, list=5%, signal=25%	Aloxe3/Grhl1/Cldn1/Met/Krt1/Kdf1/Grhl3
BP	GO:0098856	intestinal lipid absorption	15	0.7317798124378124	1.9764048069954074	5.439077289523714e-4	0.03803984762752736	0.03488406813075992	160	tags=27%, list=1%, signal=26%	Apoa2/Apoa1/Cd36/Apoa5
BP	GO:0044058	regulation of digestive system process	44	0.5359877476746326	1.8576125240451011	5.540118100338652e-4	0.03840662574296172	0.03522041839411969	1399	tags=27%, list=8%, signal=25%	Apoa2/Apoa1/Apoa5/Oxtr/Tac1/Kcnq1/Ptger3/Tacr1/Fgf10/Neurod1/Abcg2/Gpr39
BP	GO:0071825	protein-lipid complex subunit organization	38	0.5628495835816096	1.8970386618176207	5.785110933125751e-4	0.03941356181421794	0.03614381921467405	1339	tags=24%, list=8%, signal=22%	Apoa2/Apoa1/Apob/Apoa5/Soat1/Plagl2/Mfsd2a/Lipg/Abca5
BP	GO:0018206	peptidyl-methionine modification	11	0.8030854548831725	1.9761616032603928	5.927113888238026e-4	0.03969659411758061	0.036403371204744704	3	tags=18%, list=0%, signal=18%	Apoa2/Apoa1
MF	GO:0031210	phosphatidylcholine binding	26	0.62150030174699	1.931218234326076	6.859710524593284e-4	0.0431606029624023	0.039580006446071764	1872	tags=31%, list=11%, signal=28%	Apoa2/Apoa1/Apoa5/Esyt3/Aldob/Esyt2/Jchain/Gpr12
MF	GO:0050997	quaternary ammonium group binding	26	0.62150030174699	1.931218234326076	6.859710524593284e-4	0.0431606029624023	0.039580006446071764	1872	tags=31%, list=11%, signal=28%	Apoa2/Apoa1/Apoa5/Esyt3/Aldob/Esyt2/Jchain/Gpr12
MF	GO:0071813	lipoprotein particle binding	27	0.6169020652346724	1.947411076979671	6.935842814406039e-4	0.0431606029624023	0.039580006446071764	639	tags=22%, list=4%, signal=21%	Apoa2/Apoa1/Stab2/Cd36/Cdh13/Stab1
MF	GO:0071814	protein-lipid complex binding	27	0.6169020652346724	1.947411076979671	6.935842814406039e-4	0.0431606029624023	0.039580006446071764	639	tags=22%, list=4%, signal=21%	Apoa2/Apoa1/Stab2/Cd36/Cdh13/Stab1
BP	GO:0010896	regulation of triglyceride catabolic process	14	0.7349895979510518	1.9614420331050744	7.195204704880669e-4	0.043695244395017395	0.04007029411345389	558	tags=29%, list=3%, signal=28%	Apoa1/Apoc3/Apoa5/Apoh
BP	GO:0009880	embryonic pattern specification	60	0.5035851455530984	1.8501227428700284	7.629377178663358e-4	0.04567800594164888	0.04188856608859428	3212	tags=38%, list=18%, signal=31%	Wnt5a/Nrp1/Zbtb16/Pgap1/Pld6/Smad3/Nrp2/Fgf10/Tdrd5/Stil/Sema3a/Sema3f/Dll1/Ripply2/Tmed2/Ctnnb1/Erbb4/Kdm6a/Tcf7l1/Wnt7a/Nodal/Neurog1/Bmp7
BP	GO:0061384	heart trabecula morphogenesis	34	-0.5497569654041199	-1.8396380619437795	8.520895646272255e-4	0.04925307606242002	0.04516704898070179	1459	tags=41%, list=8%, signal=38%	Hey2/Ccm2l/Heg1/Eng/S1pr1/Ovol2/Hey1/Fhl2/Nog/Tek/Rbpj/Adgrg6/Dll4/Adamts1
BP	GO:0099560	synaptic membrane adhesion	32	0.5856864370506425	1.9246428124947124	8.538113906809494e-4	0.04925307606242002	0.04516704898070179	1988	tags=41%, list=11%, signal=36%	Pcdh8/Cadm1/Gpc4/Ntng1/Mdga1/Pcdh17/Epha3/Nrxn1/Ptprf/Mdga2/Ntng2/Nlgn1/Ptprd
