ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
BP	GO:0000188	inactivation of MAPK activity	18	-0.7091474149384184	-2.056065904898119	6.317914803785011e-5	0.00614478752799298	0.005369579813415095	2520	tags=61%, list=17%, signal=51%	Spred3/Dusp10/Prkca/Dusp16/Dusp7/Dusp3/Spred1/Dusp4/Dusp5/Dusp1/Dusp6
CC	GO:0098636	protein complex involved in cell adhesion	30	-0.6147790991720603	-2.02692561179928	6.787457005120036e-5	0.006282933032243063	0.005490297300806816	3082	tags=60%, list=21%, signal=48%	Itga5/Lyn/Itgb2/Itgb1/Pmp22/Itgb5/Itgb4/Jam3/Jam2/Itgav/Plp1/Itga7/Itga6/Itgb3/Itga10/Itga2b/Itga1/Itgb8
CC	GO:0034364	high-density lipoprotein particle	13	0.7623816616530026	2.058611233390367	1.095179865449668e-4	0.00872532128973677	0.007624561280515775	1399	tags=46%, list=9%, signal=42%	Apoa2/Apoa1/Apoc3/Apoc1/Apoh/App
CC	GO:0030285	integral component of synaptic vesicle membrane	44	0.5223654818514698	1.9636649142281273	1.2113852408600297e-4	0.009257208233470166	0.00808934698434673	2668	tags=48%, list=18%, signal=39%	Tmem163/Ptprn2/Wfs1/Syp/Synpr/Syt9/Sv2b/Oprk1/Scamp5/Vamp2/Scamp1/Slc18a3/Atp6v1g2/Syngr1/Atp6v0a1/Stx12/Sv2a/Slc6a17/Slc17a7/Syt1/Stx7
CC	GO:0032281	AMPA glutamate receptor complex	29	0.6055308203546639	2.0754993361864753	1.2692504584127133e-4	0.009338821911857465	0.008160664529171609	3042	tags=55%, list=20%, signal=44%	Lrrtm4/Cnih3/Vwc2l/Cacng5/Nrn1/Gria1/Shisa6/Shisa9/Shisa8/Cacng8/Vwc2/Cacng3/Dlg3/Porcn/Olfm1/Cpt1c
BP	GO:0045670	regulation of osteoclast differentiation	51	-0.5285088836408791	-1.9294396675738998	1.3006941181760564e-4	0.009457182767981055	0.00826409333949979	2437	tags=43%, list=16%, signal=36%	Esrra/Zbtb7a/Ppargc1b/Creb1/Mitf/Tjp2/Gpr137b/Tob2/Notch2/Ubash3b/Asxl2/Csf1/Ceacam1/Rassf2/Traf6/Car2/Itgb3/Sfrp1/Adam8/Klf10/Apc/Fos
CC	GO:0005747	mitochondrial respiratory chain complex I	37	0.555714847436909	2.031240811827697	1.4082709001188212e-4	0.009607102456329498	0.008395099615717156	5318	tags=76%, list=36%, signal=49%	Ndufb6/Ndufv2/Ndufv3/Ndufa10/Ndufb10/Ndufs3/Ndufa12/Ndufb5/Ndufb7/Ndufa6/Ndufa9/Ndufa1/Ndufs7/Ndufc2/Ndufc1/Ndufab1/Ndufa3/Ndufa8/Ndufv1/Foxred1/Ndufa4/Ndufs8/Ndufs6/Ndufb2/Ndufa5/Ndufa13/Ndufa7/Ndufs4
CC	GO:0030964	NADH dehydrogenase complex	37	0.555714847436909	2.031240811827697	1.4082709001188212e-4	0.009607102456329498	0.008395099615717156	5318	tags=76%, list=36%, signal=49%	Ndufb6/Ndufv2/Ndufv3/Ndufa10/Ndufb10/Ndufs3/Ndufa12/Ndufb5/Ndufb7/Ndufa6/Ndufa9/Ndufa1/Ndufs7/Ndufc2/Ndufc1/Ndufab1/Ndufa3/Ndufa8/Ndufv1/Foxred1/Ndufa4/Ndufs8/Ndufs6/Ndufb2/Ndufa5/Ndufa13/Ndufa7/Ndufs4
CC	GO:0045271	respiratory chain complex I	37	0.555714847436909	2.031240811827697	1.4082709001188212e-4	0.009607102456329498	0.008395099615717156	5318	tags=76%, list=36%, signal=49%	Ndufb6/Ndufv2/Ndufv3/Ndufa10/Ndufb10/Ndufs3/Ndufa12/Ndufb5/Ndufb7/Ndufa6/Ndufa9/Ndufa1/Ndufs7/Ndufc2/Ndufc1/Ndufab1/Ndufa3/Ndufa8/Ndufv1/Foxred1/Ndufa4/Ndufs8/Ndufs6/Ndufb2/Ndufa5/Ndufa13/Ndufa7/Ndufs4
BP	GO:0043276	anoikis	27	-0.6245511099836444	-1.9911050226527054	1.411493255337655e-4	0.009607102456329498	0.008395099615717156	3569	tags=44%, list=24%, signal=34%	Bmf/Map3k7/E2f1/Itga5/Itgb1/Notch1/Bcl2/Pik3ca/Dapk2/Mcl1/Pdk4/Sik1
BP	GO:0021846	cell proliferation in forebrain	30	-0.602520117189243	-1.986507769701164	1.4239396082955992e-4	0.009607102456329498	0.008395099615717156	2456	tags=50%, list=16%, signal=42%	Akna/Pcm1/Dct/Numb/Pou3f2/Hhex/Gli3/Tacc1/Pax6/Fgfr2/Zeb2/Dixdc1/Pou3f3/Hook3/Emx2
MF	GO:0008138	protein tyrosine/serine/threonine phosphatase activity	35	-0.5850449764506559	-1.9685703694580994	1.5882474416371967e-4	0.010600860059917255	0.009263487781026992	2340	tags=40%, list=16%, signal=34%	Dusp10/Ptp4a1/Ssh2/Ssh1/Dusp16/Dusp7/Dusp3/Cdc14b/Dusp11/Dusp14/Dusp4/Dusp5/Dusp1/Dusp6
BP	GO:0035335	peptidyl-tyrosine dephosphorylation	36	-0.578532211983296	-1.9540919458192332	1.936632804314643e-4	0.012502968165096863	0.010925631710003754	1975	tags=44%, list=13%, signal=39%	Dusp16/Dusp7/Ptpn9/Ptpn18/Ptpn12/Ubash3b/Dusp3/Ptpn2/Ptpn1/Ptpn22/Ptprz1/Ptprb/Dusp4/Dusp5/Dusp1/Dusp6
BP	GO:0045824	negative regulation of innate immune response	47	-0.5197302957414486	-1.8587488218637145	2.61716772226647e-4	0.01519377447446015	0.013276974075341204	964	tags=17%, list=6%, signal=16%	Ceacam1/Ptpn2/Pparg/A2m/Dhx58/Nlrc5/Parp14/Grn
CC	GO:0099026	anchored component of presynaptic membrane	12	0.7616246033795788	2.01013833607383	2.7415788329146034e-4	0.01567304112954005	0.013695777906171224	950	tags=50%, list=6%, signal=47%	Gpc4/Ntng1/Marcksl1/Ntng2/Cntn6/Cplx3
CC	GO:0005839	proteasome core complex	17	0.6872218754782216	2.0395939777733973	2.982417371904951e-4	0.016522010508807857	0.014437643889389836	4036	tags=82%, list=27%, signal=60%	Psma4/Psmb7/Psmb2/Psmb6/Psmb10/Psma5/Psma6/Psma1/Psmb1/Psma2/Psmb5/Psma3/Psmb3/Psmb4
BP	GO:0030866	cortical actin cytoskeleton organization	32	-0.5796521824746449	-1.9176787944637765	3.0329299003414736e-4	0.016522010508807857	0.014437643889389836	3386	tags=56%, list=23%, signal=44%	Pdcd6ip/Akap11/Dlg1/Ect2/Ikbkb/Llgl1/Vil1/Fmnl3/Ezr/Rock2/Fmnl2/Tln1/Anln/Kif23/Ehd2/Pls1/Fmnl1/Rock1
CC	GO:0022624	proteasome accessory complex	23	0.6129148921259113	1.9640496689328426	3.0445152226138124e-4	0.016522010508807857	0.014437643889389836	5216	tags=83%, list=35%, signal=54%	Psme1/Psmc2/Psmd13/Psmd2/Psmd4/Psmc3/Psmd8/Psmd12/Psmc4/Psmd6/Psmd1/Psmd9/Psmd3/Psmd14/Adrm1/Psmd5/Psme3/Psmd11/Psmc1
CC	GO:0033176	proton-transporting V-type ATPase complex	22	0.6291189602189806	1.9758402024504615	3.512987328522001e-4	0.01784368719894991	0.015592581866157607	3247	tags=77%, list=22%, signal=61%	Ccdc115/Atp6v1a/Atp6v1b2/Atp6ap2/Atp6v1c2/Atp6v0e2/Atp6v1c1/Atp6ap1/Atp6v0d1/Atp6v1d/Atp6v1g2/Atp6v1h/Atp6v0a1/Atp6v1f/Atp6v1g1/Atp6v0c/Atp6ap1l
BP	GO:0014052	regulation of gamma-aminobutyric acid secretion	13	0.7356617923892662	1.9864612515797004	3.524287084362936e-4	0.01784368719894991	0.015592581866157607	881	tags=46%, list=6%, signal=43%	Htr2c/Htr1a/Trh/Grik1/Ntsr1/Htr6
BP	GO:0014037	Schwann cell differentiation	41	-0.5499552124092126	-1.9395936599848123	3.56356604506475e-4	0.01784368719894991	0.015592581866157607	4535	tags=59%, list=30%, signal=41%	Sirt2/Gpc1/Ncmap/Adgrg6/Adam22/Nab1/Ntrk3/Lgi4/Ski/Pmp22/Pou3f1/Itgb4/Rela/Akt2/Arhgef10/Pou3f2/Ndrg1/Dicer1/Pard3/Sh3tc2/Nab2/Fa2h/Erbb3/Egr2
BP	GO:0072574	hepatocyte proliferation	24	-0.6374128641236629	-1.9842871166842626	3.6207355538091045e-4	0.01784368719894991	0.015592581866157607	2780	tags=54%, list=19%, signal=44%	Lims1/Med1/Tgfa/Cflar/Tnfaip3/Notch2/Mki67/Ceacam1/Fgf1/Prox1/Hpn/Xbp1/Itpr1
BP	GO:0072575	epithelial cell proliferation involved in liver morphogenesis	24	-0.6374128641236629	-1.9842871166842626	3.6207355538091045e-4	0.01784368719894991	0.015592581866157607	2780	tags=54%, list=19%, signal=44%	Lims1/Med1/Tgfa/Cflar/Tnfaip3/Notch2/Mki67/Ceacam1/Fgf1/Prox1/Hpn/Xbp1/Itpr1
BP	GO:0006099	tricarboxylic acid cycle	29	0.5789241625991044	1.9843031515274343	3.7738908345383727e-4	0.018233979651521206	0.015933636209388837	5376	tags=69%, list=36%, signal=44%	Mdh2/Dlat/Pdha1/Mdh1b/Pdhb/Idh1/Sdhb/Fh1/Sdha/Cs/Idh3b/Sucla2/Mdh1/Sdhd/Idh3a/Dhtkd1/Idh3g/Idh2/Ndufs4/Sdhaf2
BP	GO:0072576	liver morphogenesis	26	-0.6159508198553614	-1.9473003189839337	3.8573888139322224e-4	0.018517938992011804	0.016181772102710275	2780	tags=50%, list=19%, signal=41%	Lims1/Med1/Tgfa/Cflar/Tnfaip3/Notch2/Mki67/Ceacam1/Fgf1/Prox1/Hpn/Xbp1/Itpr1
MF	GO:0070325	lipoprotein particle receptor binding	25	0.5910596110317021	1.9538519911245251	4.0509464698911815e-4	0.018843191374543513	0.016465991633418425	4137	tags=64%, list=28%, signal=46%	Apoa2/Apoa1/Apoc3/Reln/Pcsk9/Lrpap1/App/Ap2m1/Ankra2/Snx17/Syt1/Ap2a1/Lancl1/Cltc/Apbb3/Apoe
MF	GO:0099604	ligand-gated calcium channel activity	19	-0.6663789762907313	-1.9547409708973635	4.2345110696135295e-4	0.019455370184255045	0.017000939825500366	3104	tags=58%, list=21%, signal=46%	Trpm4/P2rx4/Tpcn2/Pkd2/Tpcn1/Itpr2/Ryr1/Ryr2/Itpr1/Grin2a/Grin2b
BP	GO:0034381	plasma lipoprotein particle clearance	24	0.6040628622994753	1.9545077321639899	4.6574325345070244e-4	0.020885935479594674	0.018251029352051796	916	tags=29%, list=6%, signal=27%	Apoa2/Apoc3/Cd36/Apoc1/Dgat2/Pcsk9/Lrpap1
BP	GO:0009112	nucleobase metabolic process	27	0.5686338453812185	1.9172118367743023	5.267237383755871e-4	0.022834710248277875	0.019953952620129674	1284	tags=41%, list=9%, signal=37%	Uox/Gda/Cps1/Xdh/Dpyd/Aprt/Prps1/Shmt1/Ada/Mapk1/Dhodh
BP	GO:0035329	hippo signaling	36	-0.5537137213945772	-1.8702632296954609	5.505260034628385e-4	0.023425507045074987	0.02047021628904586	2548	tags=47%, list=17%, signal=39%	Amot/Amotl1/Tead3/Lats1/Limd1/Tead1/Amotl2/Cit/Lats2/Shank2/Tead4/Vgll4/Mob1a/Wwc1/Mob3b/Wwtr1/Map2k3
CC	GO:0008305	integrin complex	28	-0.6009883290258071	-1.9411226868983924	6.057596908902441e-4	0.024789805055065783	0.021662398609517675	3082	tags=57%, list=21%, signal=45%	Itga5/Lyn/Itgb2/Itgb1/Pmp22/Itgb5/Itgb4/Itgav/Plp1/Itga7/Itga6/Itgb3/Itga10/Itga2b/Itga1/Itgb8
BP	GO:0070570	regulation of neuron projection regeneration	39	-0.5370366904340955	-1.876119072559046	6.132759864456703e-4	0.024960999252671878	0.021811995467578563	1342	tags=23%, list=9%, signal=21%	Lrig2/Inpp5f/Map4k4/Hgf/Adam17/Scarf1/Tnr/Klf4/Grn
BP	GO:0001569	branching involved in blood vessel morphogenesis	40	-0.5263989682099751	-1.8501868718672116	6.337644059889725e-4	0.02565546830514278	0.022418852415553015	2195	tags=42%, list=15%, signal=36%	Col4a1/Ahr/Tgfbr2/Rbm15/Ednra/Gna13/Ihh/Cxcl12/Srf/Sema5a/Nfatc3/Tek/Eng/Flt1/Kdr/Dll4/Edn1
BP	GO:0071364	cellular response to epidermal growth factor stimulus	36	-0.547331791600141	-1.8487071653108356	7.24373437604686e-4	0.028254336844903614	0.024689855600813233	2622	tags=42%, list=18%, signal=34%	Vil1/Med1/Pdpk1/Iqgap1/Ptpn12/Dusp3/Pde8a/Zfp36l1/Git1/Dab2ip/Zfp36/Knstrn/Erbb4/Egfr/Cbl
CC	GO:0045095	keratin filament	13	0.7136035688090486	1.926898818306561	8.690932401655108e-4	0.032062262441376894	0.028017384880005086	1720	tags=54%, list=11%, signal=48%	Krt2/Krt1/Krt9/Fam83h/Krt73/Krt77/Krt10
BP	GO:0034375	high-density lipoprotein particle remodeling	10	0.7594834673061955	1.893129126937732	9.055167174289328e-4	0.03252356724359286	0.028420492870725032	581	tags=30%, list=4%, signal=29%	Apoa2/Apoa1/Pla2g3
CC	GO:0005838	proteasome regulatory particle	21	0.6088649775102883	1.8979236711128362	0.0010601883797958763	0.03675810544579314	0.03212081460619378	5597	tags=86%, list=37%, signal=54%	Psmc2/Psmd13/Psmd2/Psmd4/Psmc3/Psmd8/Psmd12/Psmc4/Psmd6/Psmd1/Psmd9/Psmd3/Psmd14/Adrm1/Psmd5/Psmd11/Psmc1/Psmd7
CC	GO:0065010	extracellular membrane-bounded organelle	10	-0.7632658787436822	-1.8950972027761792	0.001130899523235257	0.03849684786140382	0.03364020256437126	1751	tags=60%, list=12%, signal=53%	Gbp2/Phospho1/Gbp6/Irgm2/Gbp7/Gbp3
BP	GO:0046854	phosphatidylinositol phosphorylation	40	-0.5119179570633133	-1.7992890199849696	0.001143977108789833	0.03859119174651829	0.033722644311742024	2637	tags=32%, list=18%, signal=27%	Sla2/Impa2/Socs1/Pik3ca/Pik3cd/Pik3c2b/Socs6/Socs4/Pik3c2a/Cish/Fam126b/Itpkc/Smg1
BP	GO:0036499	PERK-mediated unfolded protein response	11	-0.7607545344368147	-1.8997109160180548	0.001235845251369514	0.04095241189162076	0.03578598010137061	760	tags=45%, list=5%, signal=43%	Nfe2l2/Ptpn2/Ptpn1/Bok/Abca7
CC	GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	14	0.7012674635759565	1.9393483703632444	0.0012446714338822005	0.040955136683785844	0.035788361142039427	2945	tags=71%, list=20%, signal=57%	Atp6v1a/Atp6v1b2/Atp6v1c2/Atp6v1c1/Atp6ap1/Atp5a1/Atp6v1h/Atp6v1f/Atp6v1e1/Atp5o
BP	GO:1900120	regulation of receptor binding	23	0.5757830745943937	1.8450629468502764	0.0013721583311252644	0.04316615296298807	0.03772044232887489	2086	tags=35%, list=14%, signal=30%	Crtac1/Pcsk9/Grem2/Ldoc1/Ptprf/App/Nkx3-1/Nog
BP	GO:2000209	regulation of anoikis	18	-0.6358975771134979	-1.8436890550097016	0.0013888363722300181	0.04333748163179419	0.037870156693658	3082	tags=39%, list=21%, signal=31%	Itga5/Itgb1/Notch1/Bcl2/Pik3ca/Mcl1/Pdk4
BP	GO:0035767	endothelial cell chemotaxis	25	-0.5743819030875832	-1.7901159075577835	0.0014059849397260282	0.04336297174219128	0.037892431049216496	922	tags=40%, list=6%, signal=38%	Notch1/Plekhg5/Prkd2/Fgf1/Sema5a/Egr3/Prkd1/Kdr/Hspb1/Nr4a1
BP	GO:0009264	deoxyribonucleotide catabolic process	25	0.550914080696548	1.821143846436419	0.001412814141420039	0.04336297174219128	0.037892431049216496	2219	tags=36%, list=15%, signal=31%	Uox/Gda/Xdh/Dpyd/Nudt15/Ada/Nudt16/Nudt18/Nt5c
MF	GO:0033549	MAP kinase phosphatase activity	13	-0.7221103805532593	-1.9148568235077834	0.0014806010292735426	0.044239848184242724	0.038658683425014516	2340	tags=69%, list=16%, signal=58%	Dusp10/Dusp16/Dusp7/Dusp3/Dusp14/Dusp4/Dusp5/Dusp1/Dusp6
BP	GO:0035458	cellular response to interferon-beta	24	-0.5955226565427488	-1.8538815288831494	0.001511659614909147	0.04460511109442596	0.038977865876836375	2261	tags=50%, list=15%, signal=43%	Stat1/Ddx41/Igtp/Gbp2/Ifit3/Mndal/Gbp6/Ifit1/Ifi203/Ifi47/Irgm2/Gbp3
MF	GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	12	-0.714979631672675	-1.82858532070933	0.0015773863154766672	0.04578700045195644	0.04001065166592591	2340	tags=67%, list=16%, signal=56%	Dusp10/Dusp16/Dusp7/Dusp14/Dusp4/Dusp5/Dusp1/Dusp6
MF	GO:0016832	aldehyde-lyase activity	11	0.7444118747116072	1.8931136035772715	0.0016364626629648312	0.04695581947487978	0.04103201603408895	1194	tags=45%, list=8%, signal=42%	Tha1/Aldoa/Aldob/Aldoart1/Shmt1
BP	GO:0045672	positive regulation of osteoclast differentiation	20	-0.6226788183666335	-1.85026720921228	0.001675244451595662	0.04770306349049396	0.0416849900162907	2012	tags=50%, list=13%, signal=43%	Ppargc1b/Creb1/Notch2/Asxl2/Csf1/Traf6/Car2/Itgb3/Klf10/Fos
